:START_ID,:END_ID,:TYPE
#3797,#3802,HAS_PROPERTIES
#3797,#3862,HAS_PROPERTIES
#3797,#3864,HAS_PROPERTIES
#3797,#3866,HAS_PROPERTIES
#3797,#3868,HAS_PROPERTIES
#3797,#3870,HAS_PROPERTIES
#3999,#4001,HAS_PROPERTIES
#3999,#4017,HAS_PROPERTIES
#3999,#4019,HAS_PROPERTIES
#3999,#4021,HAS_PROPERTIES
#3999,#4023,HAS_PROPERTIES
#3999,#4025,HAS_PROPERTIES
#4043,#4045,HAS_PROPERTIES
#4043,#4061,HAS_PROPERTIES
#4043,#4063,HAS_PROPERTIES
#4043,#4065,HAS_PROPERTIES
#4043,#4067,HAS_PROPERTIES
#4043,#4069,HAS_PROPERTIES
#4087,#4089,HAS_PROPERTIES
#4087,#4105,HAS_PROPERTIES
#4087,#4107,HAS_PROPERTIES
#4087,#4109,HAS_PROPERTIES
#4087,#4111,HAS_PROPERTIES
#4087,#4113,HAS_PROPERTIES
#4131,#4134,HAS_PROPERTIES
#4131,#4185,HAS_PROPERTIES
#4131,#4187,HAS_PROPERTIES
#4131,#4189,HAS_PROPERTIES
#4131,#4191,HAS_PROPERTIES
#4131,#4193,HAS_PROPERTIES
#4219,#4221,HAS_PROPERTIES
#4219,#4238,HAS_PROPERTIES
#4219,#4240,HAS_PROPERTIES
#4219,#4242,HAS_PROPERTIES
#4219,#4244,HAS_PROPERTIES
#4219,#4246,HAS_PROPERTIES
#4287,#4289,HAS_PROPERTIES
#4287,#4339,HAS_PROPERTIES
#4287,#4341,HAS_PROPERTIES
#4287,#4343,HAS_PROPERTIES
#4287,#4345,HAS_PROPERTIES
#4287,#4347,HAS_PROPERTIES
#4399,#4401,HAS_PROPERTIES
#4399,#4417,HAS_PROPERTIES
#4399,#4419,HAS_PROPERTIES
#4399,#4421,HAS_PROPERTIES
#4399,#4423,HAS_PROPERTIES
#4399,#4425,HAS_PROPERTIES
#4465,#4467,HAS_PROPERTIES
#4465,#4482,HAS_PROPERTIES
#4465,#4484,HAS_PROPERTIES
#4465,#4486,HAS_PROPERTIES
#4465,#4488,HAS_PROPERTIES
#4465,#4490,HAS_PROPERTIES
#4508,#4510,HAS_PROPERTIES
#4508,#4527,HAS_PROPERTIES
#4508,#4529,HAS_PROPERTIES
#4508,#4531,HAS_PROPERTIES
#4508,#4533,HAS_PROPERTIES
#4508,#4535,HAS_PROPERTIES
#4553,#4555,HAS_PROPERTIES
#4553,#4572,HAS_PROPERTIES
#4553,#4574,HAS_PROPERTIES
#4553,#4576,HAS_PROPERTIES
#4553,#4578,HAS_PROPERTIES
#4553,#4580,HAS_PROPERTIES
