:START_ID,:END_ID,:TYPE
#5165,#5167,HAS_PROPERTIES
#5165,#5217,HAS_PROPERTIES
#5165,#5219,HAS_PROPERTIES
#5165,#5221,HAS_PROPERTIES
#5165,#5223,HAS_PROPERTIES
#5165,#5225,HAS_PROPERTIES
#5165,#5227,HAS_PROPERTIES
#5165,#5229,HAS_PROPERTIES
#5267,#5269,HAS_PROPERTIES
#5267,#5285,HAS_PROPERTIES
#5267,#5287,HAS_PROPERTIES
#5267,#5289,HAS_PROPERTIES
#5267,#5291,HAS_PROPERTIES
#5267,#5293,HAS_PROPERTIES
#5267,#5295,HAS_PROPERTIES
#5267,#5297,HAS_PROPERTIES
#6132,#6134,HAS_PROPERTIES
#6132,#6182,HAS_PROPERTIES
#6132,#6184,HAS_PROPERTIES
#6132,#6186,HAS_PROPERTIES
#6132,#6188,HAS_PROPERTIES
#6132,#6190,HAS_PROPERTIES
#6132,#6192,HAS_PROPERTIES
#6132,#6194,HAS_PROPERTIES
#6247,#6249,HAS_PROPERTIES
#6247,#6265,HAS_PROPERTIES
#6247,#6267,HAS_PROPERTIES
#6247,#6269,HAS_PROPERTIES
#6247,#6271,HAS_PROPERTIES
#6247,#6273,HAS_PROPERTIES
#6247,#6275,HAS_PROPERTIES
#6247,#6277,HAS_PROPERTIES
#20792,#20794,HAS_PROPERTIES
#20792,#20843,HAS_PROPERTIES
#20792,#20845,HAS_PROPERTIES
#20792,#20847,HAS_PROPERTIES
#20792,#20849,HAS_PROPERTIES
#20792,#20851,HAS_PROPERTIES
#20792,#20853,HAS_PROPERTIES
#20792,#20855,HAS_PROPERTIES
#20903,#20905,HAS_PROPERTIES
#20903,#20922,HAS_PROPERTIES
#20903,#20924,HAS_PROPERTIES
#20903,#20926,HAS_PROPERTIES
#20903,#20928,HAS_PROPERTIES
#20903,#20930,HAS_PROPERTIES
#20903,#20932,HAS_PROPERTIES
#20903,#20934,HAS_PROPERTIES
#20958,#20960,HAS_PROPERTIES
#20958,#20977,HAS_PROPERTIES
#20958,#20979,HAS_PROPERTIES
#20958,#20981,HAS_PROPERTIES
#20958,#20983,HAS_PROPERTIES
#20958,#20985,HAS_PROPERTIES
#20958,#20987,HAS_PROPERTIES
#20958,#20989,HAS_PROPERTIES
#21013,#21015,HAS_PROPERTIES
#21013,#21032,HAS_PROPERTIES
#21013,#21034,HAS_PROPERTIES
#21013,#21036,HAS_PROPERTIES
#21013,#21038,HAS_PROPERTIES
#21013,#21040,HAS_PROPERTIES
#21013,#21042,HAS_PROPERTIES
#21013,#21044,HAS_PROPERTIES
#21080,#21082,HAS_PROPERTIES
#21080,#21099,HAS_PROPERTIES
#21080,#21101,HAS_PROPERTIES
#21080,#21103,HAS_PROPERTIES
#21080,#21105,HAS_PROPERTIES
#21080,#21107,HAS_PROPERTIES
#21080,#21109,HAS_PROPERTIES
#21080,#21111,HAS_PROPERTIES
#21147,#21149,HAS_PROPERTIES
#21147,#21166,HAS_PROPERTIES
#21147,#21168,HAS_PROPERTIES
#21147,#21170,HAS_PROPERTIES
#21147,#21172,HAS_PROPERTIES
#21147,#21174,HAS_PROPERTIES
#21147,#21176,HAS_PROPERTIES
#21147,#21178,HAS_PROPERTIES
#21195,#21197,HAS_PROPERTIES
#21195,#21246,HAS_PROPERTIES
#21195,#21248,HAS_PROPERTIES
#21195,#21250,HAS_PROPERTIES
#21195,#21252,HAS_PROPERTIES
#21195,#21254,HAS_PROPERTIES
#21195,#21256,HAS_PROPERTIES
