:START_ID,:END_ID,:TYPE
#6652,#6655,HAS_PROPERTIES
#6652,#6716,HAS_PROPERTIES
#6652,#6718,HAS_PROPERTIES
#6652,#6720,HAS_PROPERTIES
#6652,#6722,HAS_PROPERTIES
#6757,#6760,HAS_PROPERTIES
#6757,#6772,HAS_PROPERTIES
#6757,#6774,HAS_PROPERTIES
#6757,#6776,HAS_PROPERTIES
#6757,#6778,HAS_PROPERTIES
#8066,#8069,HAS_PROPERTIES
#8066,#8128,HAS_PROPERTIES
#8066,#8130,HAS_PROPERTIES
#8066,#8132,HAS_PROPERTIES
#8066,#8134,HAS_PROPERTIES
#8169,#8172,HAS_PROPERTIES
#8169,#8184,HAS_PROPERTIES
#8169,#8186,HAS_PROPERTIES
#8169,#8188,HAS_PROPERTIES
#8169,#8190,HAS_PROPERTIES
#8283,#8286,HAS_PROPERTIES
#8283,#8345,HAS_PROPERTIES
#8283,#8347,HAS_PROPERTIES
#8283,#8349,HAS_PROPERTIES
#8283,#8351,HAS_PROPERTIES
#8386,#8389,HAS_PROPERTIES
#8386,#8401,HAS_PROPERTIES
#8386,#8403,HAS_PROPERTIES
#8386,#8405,HAS_PROPERTIES
#8386,#8407,HAS_PROPERTIES
#15962,#15965,HAS_PROPERTIES
#15962,#15977,HAS_PROPERTIES
#15962,#15979,HAS_PROPERTIES
#15962,#15981,HAS_PROPERTIES
#15962,#15983,HAS_PROPERTIES
#16013,#16016,HAS_PROPERTIES
#16013,#16028,HAS_PROPERTIES
#16013,#16030,HAS_PROPERTIES
#16013,#16032,HAS_PROPERTIES
#16013,#16034,HAS_PROPERTIES
#16064,#16067,HAS_PROPERTIES
#16064,#16079,HAS_PROPERTIES
#16064,#16081,HAS_PROPERTIES
#16064,#16083,HAS_PROPERTIES
#16064,#16085,HAS_PROPERTIES
#16115,#16118,HAS_PROPERTIES
#16115,#16130,HAS_PROPERTIES
#16115,#16132,HAS_PROPERTIES
#16115,#16134,HAS_PROPERTIES
#16115,#16136,HAS_PROPERTIES
#21821,#21824,HAS_PROPERTIES
#21821,#21888,HAS_PROPERTIES
#21821,#21890,HAS_PROPERTIES
#21821,#21892,HAS_PROPERTIES
#21821,#21894,HAS_PROPERTIES
#21929,#21932,HAS_PROPERTIES
#21929,#21944,HAS_PROPERTIES
#21929,#21946,HAS_PROPERTIES
#21929,#21948,HAS_PROPERTIES
#21929,#21950,HAS_PROPERTIES
#35318,#35321,HAS_PROPERTIES
#35318,#35333,HAS_PROPERTIES
#35318,#35335,HAS_PROPERTIES
#35318,#35337,HAS_PROPERTIES
#35318,#35339,HAS_PROPERTIES
#35413,#35416,HAS_PROPERTIES
#35413,#35428,HAS_PROPERTIES
#35413,#35430,HAS_PROPERTIES
#35413,#35432,HAS_PROPERTIES
#35413,#35434,HAS_PROPERTIES
#8066,#8136,HAS_PROPERTIES
#8169,#8136,HAS_PROPERTIES
#35318,#8136,HAS_PROPERTIES
#35413,#8136,HAS_PROPERTIES
#8066,#8137,HAS_PROPERTIES
#8169,#8137,HAS_PROPERTIES
#35318,#8137,HAS_PROPERTIES
#35413,#8137,HAS_PROPERTIES
#8066,#8138,HAS_PROPERTIES
#8169,#8138,HAS_PROPERTIES
#35318,#8138,HAS_PROPERTIES
#35413,#8138,HAS_PROPERTIES
#8066,#8139,HAS_PROPERTIES
#8169,#8139,HAS_PROPERTIES
#35318,#8139,HAS_PROPERTIES
#35413,#8139,HAS_PROPERTIES
#8066,#8140,HAS_PROPERTIES
#8169,#8140,HAS_PROPERTIES
#35318,#8140,HAS_PROPERTIES
#35413,#8140,HAS_PROPERTIES
#8283,#8353,HAS_PROPERTIES
#8386,#8353,HAS_PROPERTIES
#15962,#8353,HAS_PROPERTIES
#16013,#8353,HAS_PROPERTIES
#16064,#8353,HAS_PROPERTIES
#16115,#8353,HAS_PROPERTIES
#8283,#8354,HAS_PROPERTIES
